PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=5.1E-7, low=4.3E-7, open=4.3E-7, close=4.8E-7, volume=4.48718669, quoteVolume=9397983.5420338, weightedAverage=4.7E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=5.7E-7, low=4.7E-7, open=4.9E-7, close=5.3E-7, volume=2.82695095, quoteVolume=5417161.1106298, weightedAverage=5.2E-7]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=5.7E-7, low=4.7E-7, open=5.3E-7, close=5.0E-7, volume=1.23685762, quoteVolume=2440773.7339905, weightedAverage=5.0E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=5.2E-7, low=4.3E-7, open=4.9E-7, close=4.6E-7, volume=1.63617393, quoteVolume=3589944.8539047, weightedAverage=4.5E-7]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=4.8E-7, low=4.3E-7, open=4.7E-7, close=4.4E-7, volume=0.46732557, quoteVolume=1027186.0755453, weightedAverage=4.5E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=4.7E-7, low=4.2E-7, open=4.7E-7, close=4.4E-7, volume=0.57127665, quoteVolume=1332054.4213025, weightedAverage=4.2E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=4.5E-7, low=4.3E-7, open=4.4E-7, close=4.5E-7, volume=0.55264139, quoteVolume=1265098.9629833, weightedAverage=4.3E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=4.5E-7, low=3.9E-7, open=4.5E-7, close=4.1E-7, volume=1.56025209, quoteVolume=3803383.9796562, weightedAverage=4.1E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=4.1E-7, low=3.6E-7, open=4.1E-7, close=3.8E-7, volume=0.7441312, quoteVolume=1953620.0477755, weightedAverage=3.8E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=4.4E-7, low=3.5E-7, open=3.8E-7, close=3.8E-7, volume=1.32247555, quoteVolume=3352728.6409718, weightedAverage=3.9E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=4.2E-7, low=3.8E-7, open=3.9E-7, close=4.2E-7, volume=0.49343903, quoteVolume=1190515.8792141, weightedAverage=4.1E-7]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=4.4E-7, low=4.0E-7, open=4.2E-7, close=4.2E-7, volume=0.84969968, quoteVolume=2017268.1765555, weightedAverage=4.2E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=5.0E-7, low=4.2E-7, open=4.3E-7, close=4.5E-7, volume=1.8232363, quoteVolume=3896934.4048441, weightedAverage=4.6E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=5.2E-7, low=4.4E-7, open=5.0E-7, close=4.7E-7, volume=1.87329143, quoteVolume=3856464.2855486, weightedAverage=4.8E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=4.7E-7, low=4.2E-7, open=4.7E-7, close=4.3E-7, volume=0.83161871, quoteVolume=1863043.9279634, weightedAverage=4.4E-7]
PoloniexChartData [date=Sat Sep 03 20:00:00 EDT 2016, high=4.5E-7, low=4.1E-7, open=4.3E-7, close=4.4E-7, volume=1.41678775, quoteVolume=3331773.3308721, weightedAverage=4.2E-7]
PoloniexChartData [date=Sun Sep 04 20:00:00 EDT 2016, high=4.6E-7, low=4.4E-7, open=4.4E-7, close=4.5E-7, volume=0.46630319, quoteVolume=1025397.6600283, weightedAverage=4.5E-7]
PoloniexChartData [date=Mon Sep 05 20:00:00 EDT 2016, high=4.6E-7, low=4.2E-7, open=4.5E-7, close=4.4E-7, volume=0.32084955, quoteVolume=738786.11150019, weightedAverage=4.3E-7]
PoloniexChartData [date=Tue Sep 06 20:00:00 EDT 2016, high=4.9E-7, low=4.3E-7, open=4.4E-7, close=4.3E-7, volume=1.38821705, quoteVolume=2967361.073378, weightedAverage=4.6E-7]
PoloniexChartData [date=Wed Sep 07 20:00:00 EDT 2016, high=7.1E-7, low=4.4E-7, open=4.4E-7, close=6.7E-7, volume=24.12133047, quoteVolume=42056033.53092, weightedAverage=5.7E-7]
PoloniexChartData [date=Thu Sep 08 20:00:00 EDT 2016, high=8.2E-7, low=5.4E-7, open=6.7E-7, close=5.7E-7, volume=51.40256426, quoteVolume=75997325.561795, weightedAverage=6.7E-7]
PoloniexChartData [date=Fri Sep 09 20:00:00 EDT 2016, high=6.0E-7, low=4.9E-7, open=5.6E-7, close=5.5E-7, volume=4.79543726, quoteVolume=8843152.7640251, weightedAverage=5.4E-7]
PoloniexChartData [date=Sat Sep 10 20:00:00 EDT 2016, high=5.7E-7, low=4.9E-7, open=5.6E-7, close=5.1E-7, volume=2.63168813, quoteVolume=5043518.6307354, weightedAverage=5.2E-7]
PoloniexChartData [date=Sun Sep 11 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=5.4E-7, close=5.1E-7, volume=0.92349422, quoteVolume=1820985.7421849, weightedAverage=5.0E-7]
PoloniexChartData [date=Mon Sep 12 20:00:00 EDT 2016, high=7.4E-7, low=5.1E-7, open=5.1E-7, close=6.1E-7, volume=8.39717848, quoteVolume=13656533.485397, weightedAverage=6.1E-7]
PoloniexChartData [date=Tue Sep 13 20:00:00 EDT 2016, high=8.2E-7, low=5.8E-7, open=6.1E-7, close=7.3E-7, volume=26.44635449, quoteVolume=38327997.725607, weightedAverage=6.9E-7]
PoloniexChartData [date=Wed Sep 14 20:00:00 EDT 2016, high=0.00000162, low=7.0E-7, open=7.2E-7, close=8.4E-7, volume=370.84952618, quoteVolume=350968212.28641, weightedAverage=0.00000105]
PoloniexChartData [date=Thu Sep 15 20:00:00 EDT 2016, high=9.0E-7, low=5.6E-7, open=8.4E-7, close=6.7E-7, volume=46.37362859, quoteVolume=62395541.279256, weightedAverage=7.4E-7]
PoloniexChartData [date=Fri Sep 16 20:00:00 EDT 2016, high=7.3E-7, low=6.2E-7, open=6.9E-7, close=6.9E-7, volume=10.31329175, quoteVolume=15330812.35331, weightedAverage=6.7E-7]
PoloniexChartData [date=Sat Sep 17 20:00:00 EDT 2016, high=9.2E-7, low=6.7E-7, open=7.0E-7, close=7.2E-7, volume=27.75595683, quoteVolume=36251303.873317, weightedAverage=7.6E-7]
PoloniexChartData [date=Sun Sep 18 20:00:00 EDT 2016, high=7.7E-7, low=7.1E-7, open=7.4E-7, close=7.4E-7, volume=2.41188596, quoteVolume=3286936.7080107, weightedAverage=7.3E-7]
PoloniexChartData [date=Mon Sep 19 20:00:00 EDT 2016, high=7.6E-7, low=6.7E-7, open=7.1E-7, close=7.1E-7, volume=3.09126922, quoteVolume=4358057.5162649, weightedAverage=7.0E-7]
PoloniexChartData [date=Tue Sep 20 20:00:00 EDT 2016, high=7.4E-7, low=6.9E-7, open=7.1E-7, close=7.1E-7, volume=1.58553276, quoteVolume=2206268.3206705, weightedAverage=7.1E-7]
PoloniexChartData [date=Wed Sep 21 20:00:00 EDT 2016, high=7.4E-7, low=6.4E-7, open=7.1E-7, close=6.9E-7, volume=3.84033584, quoteVolume=5692302.2676065, weightedAverage=6.7E-7]
PoloniexChartData [date=Thu Sep 22 20:00:00 EDT 2016, high=6.9E-7, low=6.4E-7, open=6.8E-7, close=6.6E-7, volume=2.49025009, quoteVolume=3801457.0982558, weightedAverage=6.5E-7]
PoloniexChartData [date=Fri Sep 23 20:00:00 EDT 2016, high=7.5E-7, low=6.4E-7, open=6.5E-7, close=7.1E-7, volume=4.34961075, quoteVolume=6173173.8937889, weightedAverage=7.0E-7]
PoloniexChartData [date=Sat Sep 24 20:00:00 EDT 2016, high=7.6E-7, low=7.1E-7, open=7.1E-7, close=7.2E-7, volume=3.47768354, quoteVolume=4752614.4511155, weightedAverage=7.3E-7]
PoloniexChartData [date=Sun Sep 25 20:00:00 EDT 2016, high=7.5E-7, low=7.2E-7, open=7.2E-7, close=7.3E-7, volume=1.93872755, quoteVolume=2654436.2196423, weightedAverage=7.3E-7]
PoloniexChartData [date=Mon Sep 26 20:00:00 EDT 2016, high=7.5E-7, low=6.2E-7, open=7.5E-7, close=6.9E-7, volume=3.75368355, quoteVolume=5482519.5463916, weightedAverage=6.8E-7]
PoloniexChartData [date=Tue Sep 27 20:00:00 EDT 2016, high=7.3E-7, low=6.2E-7, open=6.9E-7, close=6.8E-7, volume=3.68702216, quoteVolume=5517291.1657612, weightedAverage=6.6E-7]
PoloniexChartData [date=Wed Sep 28 20:00:00 EDT 2016, high=7.1E-7, low=6.5E-7, open=6.6E-7, close=6.8E-7, volume=0.91796864, quoteVolume=1373895.8956593, weightedAverage=6.6E-7]
PoloniexChartData [date=Thu Sep 29 20:00:00 EDT 2016, high=7.1E-7, low=6.5E-7, open=6.5E-7, close=7.0E-7, volume=2.65091003, quoteVolume=3890780.0417833, weightedAverage=6.8E-7]
PoloniexChartData [date=Fri Sep 30 20:00:00 EDT 2016, high=6.9E-7, low=6.4E-7, open=6.9E-7, close=6.6E-7, volume=4.04213291, quoteVolume=6167038.1724954, weightedAverage=6.5E-7]
PoloniexChartData [date=Sat Oct 01 20:00:00 EDT 2016, high=6.8E-7, low=6.5E-7, open=6.6E-7, close=6.8E-7, volume=1.58103295, quoteVolume=2389771.4170439, weightedAverage=6.6E-7]
PoloniexChartData [date=Sun Oct 02 20:00:00 EDT 2016, high=6.8E-7, low=6.2E-7, open=6.8E-7, close=6.6E-7, volume=5.34731892, quoteVolume=8298867.5044161, weightedAverage=6.4E-7]
