PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=4.3E-7, low=3.9E-7, open=4.1E-7, close=4.1E-7, volume=244.38922244, quoteVolume=599905727.43106, weightedAverage=4.0E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=3.9E-7, volume=97.06668121, quoteVolume=241511014.96904, weightedAverage=4.0E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=4.1E-7, volume=87.78511194, quoteVolume=218735714.82004, weightedAverage=4.0E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=4.1E-7, low=4.0E-7, open=4.0E-7, close=4.1E-7, volume=60.15877888, quoteVolume=149543075.06521, weightedAverage=4.0E-7]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=4.5E-7, low=4.0E-7, open=4.1E-7, close=4.3E-7, volume=433.42484717, quoteVolume=1026604613.0303, weightedAverage=4.2E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.3E-7, close=4.2E-7, volume=383.55849456, quoteVolume=899143817.6304, weightedAverage=4.2E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=4.7E-7, low=4.1E-7, open=4.3E-7, close=4.5E-7, volume=834.29013652, quoteVolume=1883995579.7657, weightedAverage=4.4E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=4.6E-7, low=4.2E-7, open=4.5E-7, close=4.2E-7, volume=314.60514635, quoteVolume=727135633.34414, weightedAverage=4.3E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=4.4E-7, low=4.1E-7, open=4.3E-7, close=4.3E-7, volume=156.43959406, quoteVolume=367889528.07957, weightedAverage=4.2E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=4.3E-7, low=3.9E-7, open=4.3E-7, close=4.0E-7, volume=326.40261234, quoteVolume=801598442.31113, weightedAverage=4.0E-7]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=4.2E-7, low=4.0E-7, open=4.0E-7, close=4.1E-7, volume=133.38651476, quoteVolume=328443720.67421, weightedAverage=4.0E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=4.0E-7, volume=93.30425904, quoteVolume=232954859.32062, weightedAverage=4.0E-7]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=4.1E-7, low=3.6E-7, open=4.0E-7, close=3.8E-7, volume=398.45046153, quoteVolume=1029011144.9846, weightedAverage=3.8E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=3.8E-7, volume=273.24728031, quoteVolume=711226428.65132, weightedAverage=3.8E-7]
