PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=5.2E-7, low=5.0E-7, open=5.0E-7, close=5.2E-7, volume=1.86302312, quoteVolume=3687293.0865075, weightedAverage=5.0E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=5.3E-7, low=4.7E-7, open=5.1E-7, close=4.9E-7, volume=6.39725372, quoteVolume=12958111.744369, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=5.0E-7, low=4.4E-7, open=5.0E-7, close=4.6E-7, volume=3.40572377, quoteVolume=7374556.0360447, weightedAverage=4.6E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=5.0E-7, low=4.4E-7, open=4.5E-7, close=5.0E-7, volume=3.5303331, quoteVolume=7479612.3350209, weightedAverage=4.7E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=5.5E-7, low=4.9E-7, open=5.0E-7, close=5.1E-7, volume=5.21800908, quoteVolume=9841323.3205124, weightedAverage=5.3E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=5.1E-7, low=4.7E-7, open=5.1E-7, close=4.9E-7, volume=2.54732441, quoteVolume=5238780.6727043, weightedAverage=4.8E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=4.9E-7, low=4.7E-7, open=4.8E-7, close=4.8E-7, volume=3.92301475, quoteVolume=8230438.0913367, weightedAverage=4.7E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=5.7E-7, low=4.9E-7, open=4.9E-7, close=5.3E-7, volume=6.51087586, quoteVolume=12254125.283272, weightedAverage=5.3E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=5.5E-7, low=5.0E-7, open=5.1E-7, close=5.1E-7, volume=3.55921404, quoteVolume=6874991.3871748, weightedAverage=5.1E-7]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=5.4E-7, low=5.0E-7, open=5.3E-7, close=5.0E-7, volume=1.22419981, quoteVolume=2423999.861475, weightedAverage=5.0E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=5.0E-7, close=5.1E-7, volume=2.76021662, quoteVolume=5488701.1101575, weightedAverage=5.0E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=5.7E-7, low=4.9E-7, open=5.1E-7, close=5.5E-7, volume=3.63457051, quoteVolume=6652557.8780471, weightedAverage=5.4E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=6.2E-7, low=5.0E-7, open=5.4E-7, close=5.5E-7, volume=13.0211458, quoteVolume=23806490.093647, weightedAverage=5.4E-7]
PoloniexChartData [date=Sat Sep 03 20:00:00 EDT 2016, high=5.9E-7, low=4.9E-7, open=5.5E-7, close=5.1E-7, volume=7.45557312, quoteVolume=14076960.772784, weightedAverage=5.2E-7]
PoloniexChartData [date=Sun Sep 04 20:00:00 EDT 2016, high=5.4E-7, low=4.9E-7, open=5.0E-7, close=5.0E-7, volume=2.0933979, quoteVolume=4100759.9760643, weightedAverage=5.1E-7]
PoloniexChartData [date=Mon Sep 05 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=5.2E-7, close=5.0E-7, volume=4.43040335, quoteVolume=8695765.4922037, weightedAverage=5.0E-7]
