PoloniexChartData [date=2016-08-13 00:00:00 GMT, high=5.5E-7, low=5.2E-7, open=5.4E-7, close=5.3E-7, volume=23.81854219, quoteVolume=44631383.766358, weightedAverage=5.3E-7]
PoloniexChartData [date=2016-08-14 00:00:00 GMT, high=5.5E-7, low=5.1E-7, open=5.3E-7, close=5.2E-7, volume=55.70639825, quoteVolume=106035858.03688, weightedAverage=5.2E-7]
PoloniexChartData [date=2016-08-15 00:00:00 GMT, high=8.0E-7, low=5.2E-7, open=5.3E-7, close=7.0E-7, volume=984.94227862, quoteVolume=1439345186.3359, weightedAverage=6.8E-7]
PoloniexChartData [date=2016-08-16 00:00:00 GMT, high=8.4E-7, low=5.9E-7, open=6.9E-7, close=5.9E-7, volume=1310.1615732, quoteVolume=1884693544.1149, weightedAverage=6.9E-7]
PoloniexChartData [date=2016-08-17 00:00:00 GMT, high=7.3E-7, low=5.8E-7, open=5.9E-7, close=6.8E-7, volume=891.250306, quoteVolume=1345405399.3345, weightedAverage=6.6E-7]
PoloniexChartData [date=2016-08-18 00:00:00 GMT, high=7.0E-7, low=6.2E-7, open=6.8E-7, close=6.4E-7, volume=309.32411737, quoteVolume=472801115.65584, weightedAverage=6.5E-7]
PoloniexChartData [date=2016-08-19 00:00:00 GMT, high=6.4E-7, low=5.6E-7, open=6.3E-7, close=5.8E-7, volume=195.38532305, quoteVolume=328905812.46622, weightedAverage=5.9E-7]
PoloniexChartData [date=2016-08-20 00:00:00 GMT, high=6.0E-7, low=5.6E-7, open=5.8E-7, close=5.7E-7, volume=69.55405842, quoteVolume=120217909.71036, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-08-21 00:00:00 GMT, high=5.9E-7, low=5.7E-7, open=5.7E-7, close=5.7E-7, volume=37.23061473, quoteVolume=64757226.853148, weightedAverage=5.7E-7]
PoloniexChartData [date=2016-08-22 00:00:00 GMT, high=5.9E-7, low=5.2E-7, open=5.7E-7, close=5.3E-7, volume=170.0343108, quoteVolume=309182112.65298, weightedAverage=5.4E-7]
PoloniexChartData [date=2016-08-23 00:00:00 GMT, high=5.6E-7, low=5.2E-7, open=5.4E-7, close=5.4E-7, volume=112.07034518, quoteVolume=209548703.73683, weightedAverage=5.3E-7]
