PoloniexChartData [date=2015-07-28 00:00:00 GMT, high=5.9E-7, low=5.6E-7, open=5.8E-7, close=5.9E-7, volume=2.17749072, quoteVolume=3806774.7052343, weightedAverage=5.7E-7]
PoloniexChartData [date=2015-07-29 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.9E-7, close=5.4E-7, volume=2.06188938, quoteVolume=3808408.9060129, weightedAverage=5.4E-7]
PoloniexChartData [date=2015-07-30 00:00:00 GMT, high=6.0E-7, low=5.5E-7, open=5.7E-7, close=5.7E-7, volume=3.06167861, quoteVolume=5260405.8793372, weightedAverage=5.8E-7]
PoloniexChartData [date=2015-07-31 00:00:00 GMT, high=5.9E-7, low=5.6E-7, open=5.6E-7, close=5.6E-7, volume=0.64568615, quoteVolume=1122205.283322, weightedAverage=5.7E-7]
PoloniexChartData [date=2015-08-01 00:00:00 GMT, high=5.8E-7, low=5.5E-7, open=5.6E-7, close=5.5E-7, volume=1.20609962, quoteVolume=2178749.1653723, weightedAverage=5.5E-7]
PoloniexChartData [date=2015-08-02 00:00:00 GMT, high=5.9E-7, low=5.4E-7, open=5.5E-7, close=5.4E-7, volume=7.43165373, quoteVolume=13497443.132378, weightedAverage=5.5E-7]
PoloniexChartData [date=2015-08-03 00:00:00 GMT, high=5.5E-7, low=5.3E-7, open=5.5E-7, close=5.4E-7, volume=2.31076756, quoteVolume=4275019.482253, weightedAverage=5.4E-7]
PoloniexChartData [date=2015-08-04 00:00:00 GMT, high=5.5E-7, low=5.0E-7, open=5.3E-7, close=5.1E-7, volume=7.39856358, quoteVolume=14243126.725061, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-08-05 00:00:00 GMT, high=5.5E-7, low=5.0E-7, open=5.3E-7, close=5.4E-7, volume=6.99015026, quoteVolume=13653173.958462, weightedAverage=5.1E-7]
PoloniexChartData [date=2015-08-06 00:00:00 GMT, high=5.3E-7, low=5.0E-7, open=5.3E-7, close=5.0E-7, volume=2.36195184, quoteVolume=4668095.5738793, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-08-07 00:00:00 GMT, high=5.1E-7, low=5.0E-7, open=5.1E-7, close=5.0E-7, volume=1.78796609, quoteVolume=3575739.6140313, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-08-08 00:00:00 GMT, high=5.4E-7, low=5.0E-7, open=5.0E-7, close=5.1E-7, volume=4.9159677, quoteVolume=9663490.0898839, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-08-09 00:00:00 GMT, high=5.4E-7, low=4.6E-7, open=5.1E-7, close=4.9E-7, volume=21.83396644, quoteVolume=44807352.185974, weightedAverage=4.8E-7]
PoloniexChartData [date=2015-08-10 00:00:00 GMT, high=5.2E-7, low=4.9E-7, open=5.0E-7, close=5.1E-7, volume=2.58479718, quoteVolume=5111330.3743177, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-08-11 00:00:00 GMT, high=5.3E-7, low=4.9E-7, open=4.9E-7, close=4.9E-7, volume=6.37824078, quoteVolume=12607414.766896, weightedAverage=5.0E-7]
PoloniexChartData [date=2015-08-12 00:00:00 GMT, high=5.3E-7, low=4.8E-7, open=5.0E-7, close=5.1E-7, volume=13.3076841, quoteVolume=27063190.594179, weightedAverage=4.9E-7]
PoloniexChartData [date=2015-08-13 00:00:00 GMT, high=5.1E-7, low=4.4E-7, open=4.9E-7, close=4.6E-7, volume=6.86840522, quoteVolume=14559423.296469, weightedAverage=4.7E-7]
PoloniexChartData [date=2015-08-14 00:00:00 GMT, high=4.9E-7, low=4.5E-7, open=4.7E-7, close=4.5E-7, volume=3.7416345, quoteVolume=7970818.9022755, weightedAverage=4.6E-7]
PoloniexChartData [date=2015-08-15 00:00:00 GMT, high=4.7E-7, low=4.5E-7, open=4.5E-7, close=4.5E-7, volume=2.02912751, quoteVolume=4470074.4407825, weightedAverage=4.5E-7]
PoloniexChartData [date=2015-08-16 00:00:00 GMT, high=4.9E-7, low=4.5E-7, open=4.6E-7, close=4.7E-7, volume=5.13815963, quoteVolume=11036540.716859, weightedAverage=4.6E-7]
PoloniexChartData [date=2015-08-17 00:00:00 GMT, high=5.0E-7, low=4.6E-7, open=4.9E-7, close=4.6E-7, volume=5.3094717, quoteVolume=10909772.531322, weightedAverage=4.8E-7]
PoloniexChartData [date=2015-08-18 00:00:00 GMT, high=4.7E-7, low=4.0E-7, open=4.6E-7, close=4.4E-7, volume=6.3301868, quoteVolume=14554696.472703, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-08-19 00:00:00 GMT, high=4.6E-7, low=4.2E-7, open=4.4E-7, close=4.6E-7, volume=0.72018852, quoteVolume=1599611.2923347, weightedAverage=4.5E-7]
PoloniexChartData [date=2015-08-20 00:00:00 GMT, high=4.6E-7, low=4.4E-7, open=4.5E-7, close=4.5E-7, volume=0.4946783, quoteVolume=1119179.4477604, weightedAverage=4.4E-7]
