PoloniexChartData [date=Mon Aug 08 20:00:00 EDT 2016, high=7.4E-7, low=5.0E-7, open=6.5E-7, close=6.0E-7, volume=16.81693215, quoteVolume=27620313.776526, weightedAverage=6.0E-7]
PoloniexChartData [date=Tue Aug 09 20:00:00 EDT 2016, high=6.1E-7, low=4.4E-7, open=6.0E-7, close=5.1E-7, volume=4.55930284, quoteVolume=8686625.8870606, weightedAverage=5.2E-7]
PoloniexChartData [date=Wed Aug 10 20:00:00 EDT 2016, high=5.3E-7, low=4.7E-7, open=5.1E-7, close=5.0E-7, volume=1.93079232, quoteVolume=3884797.5652567, weightedAverage=4.9E-7]
PoloniexChartData [date=Thu Aug 11 20:00:00 EDT 2016, high=5.3E-7, low=4.9E-7, open=5.0E-7, close=5.0E-7, volume=1.78816859, quoteVolume=3550086.3930001, weightedAverage=5.0E-7]
PoloniexChartData [date=Fri Aug 12 20:00:00 EDT 2016, high=5.6E-7, low=4.7E-7, open=5.1E-7, close=5.1E-7, volume=1.40085103, quoteVolume=2767005.7215867, weightedAverage=5.0E-7]
PoloniexChartData [date=Sat Aug 13 20:00:00 EDT 2016, high=6.0E-7, low=4.7E-7, open=5.2E-7, close=4.9E-7, volume=4.71898715, quoteVolume=8760290.0044776, weightedAverage=5.3E-7]
PoloniexChartData [date=Sun Aug 14 20:00:00 EDT 2016, high=5.4E-7, low=4.8E-7, open=4.9E-7, close=4.9E-7, volume=2.46783728, quoteVolume=4934210.1442627, weightedAverage=5.0E-7]
PoloniexChartData [date=Mon Aug 15 20:00:00 EDT 2016, high=5.4E-7, low=4.7E-7, open=5.0E-7, close=5.1E-7, volume=0.9628532, quoteVolume=1927133.344237, weightedAverage=4.9E-7]
PoloniexChartData [date=Tue Aug 16 20:00:00 EDT 2016, high=5.3E-7, low=4.6E-7, open=5.0E-7, close=5.0E-7, volume=2.31839822, quoteVolume=4786472.1435787, weightedAverage=4.8E-7]
PoloniexChartData [date=Wed Aug 17 20:00:00 EDT 2016, high=5.3E-7, low=4.9E-7, open=4.9E-7, close=5.3E-7, volume=0.95617609, quoteVolume=1843754.6049666, weightedAverage=5.1E-7]
PoloniexChartData [date=Thu Aug 18 20:00:00 EDT 2016, high=5.3E-7, low=4.4E-7, open=5.3E-7, close=4.9E-7, volume=2.99125676, quoteVolume=6325649.7513359, weightedAverage=4.7E-7]
PoloniexChartData [date=Fri Aug 19 20:00:00 EDT 2016, high=5.1E-7, low=4.6E-7, open=4.9E-7, close=4.9E-7, volume=1.60879408, quoteVolume=3377408.4301604, weightedAverage=4.7E-7]
PoloniexChartData [date=Sat Aug 20 20:00:00 EDT 2016, high=5.1E-7, low=4.5E-7, open=4.8E-7, close=4.9E-7, volume=0.73618888, quoteVolume=1531311.7132173, weightedAverage=4.8E-7]
PoloniexChartData [date=Sun Aug 21 20:00:00 EDT 2016, high=4.9E-7, low=3.9E-7, open=4.9E-7, close=4.5E-7, volume=2.05922029, quoteVolume=4737394.7614057, weightedAverage=4.3E-7]
PoloniexChartData [date=Mon Aug 22 20:00:00 EDT 2016, high=5.3E-7, low=4.0E-7, open=4.4E-7, close=4.5E-7, volume=2.86076968, quoteVolume=6186500.9251404, weightedAverage=4.6E-7]
PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=4.6E-7, low=3.7E-7, open=4.5E-7, close=3.9E-7, volume=2.6607077, quoteVolume=6757547.1735291, weightedAverage=3.9E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=3.9E-7, low=3.6E-7, open=3.8E-7, close=3.7E-7, volume=1.34645855, quoteVolume=3538544.8667299, weightedAverage=3.8E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=4.3E-7, low=3.6E-7, open=3.7E-7, close=4.0E-7, volume=3.49455782, quoteVolume=8862859.2695139, weightedAverage=3.9E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=5.3E-7, low=4.1E-7, open=4.1E-7, close=4.5E-7, volume=8.43120948, quoteVolume=18308168.482051, weightedAverage=4.6E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=4.6E-7, low=3.9E-7, open=4.6E-7, close=4.2E-7, volume=2.9922092, quoteVolume=7305051.2103732, weightedAverage=4.0E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=4.2E-7, low=3.7E-7, open=4.2E-7, close=3.9E-7, volume=5.42816049, quoteVolume=13897683.567632, weightedAverage=3.9E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=4.6E-7, low=3.7E-7, open=3.9E-7, close=4.4E-7, volume=5.57683152, quoteVolume=13764078.161475, weightedAverage=4.0E-7]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=4.5E-7, low=4.0E-7, open=4.4E-7, close=4.4E-7, volume=2.75433573, quoteVolume=6639825.652215, weightedAverage=4.1E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=8.4E-7, low=4.2E-7, open=4.3E-7, close=6.7E-7, volume=41.59054788, quoteVolume=63095222.701141, weightedAverage=6.5E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=7.6E-7, low=5.6E-7, open=6.7E-7, close=6.2E-7, volume=15.59389499, quoteVolume=24085234.840898, weightedAverage=6.4E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=0.00000116, low=6.0E-7, open=6.2E-7, close=7.8E-7, volume=77.71843254, quoteVolume=88181045.769351, weightedAverage=8.8E-7]
PoloniexChartData [date=Sat Sep 03 20:00:00 EDT 2016, high=7.9E-7, low=5.0E-7, open=7.8E-7, close=5.6E-7, volume=14.33969057, quoteVolume=22591434.160928, weightedAverage=6.3E-7]
PoloniexChartData [date=Sun Sep 04 20:00:00 EDT 2016, high=6.5E-7, low=5.4E-7, open=5.6E-7, close=6.3E-7, volume=3.7928816, quoteVolume=6471358.2365797, weightedAverage=5.8E-7]
PoloniexChartData [date=Mon Sep 05 20:00:00 EDT 2016, high=6.2E-7, low=4.9E-7, open=6.1E-7, close=5.9E-7, volume=8.6676842, quoteVolume=16372618.153336, weightedAverage=5.2E-7]
PoloniexChartData [date=Tue Sep 06 20:00:00 EDT 2016, high=9.0E-7, low=5.0E-7, open=5.9E-7, close=6.6E-7, volume=33.17573874, quoteVolume=46770169.690286, weightedAverage=7.0E-7]
PoloniexChartData [date=Wed Sep 07 20:00:00 EDT 2016, high=0.0000082, low=6.5E-7, open=6.6E-7, close=0.00000505, volume=4114.57978282, quoteVolume=1344430981.7515, weightedAverage=0.00000306]
PoloniexChartData [date=Thu Sep 08 20:00:00 EDT 2016, high=0.0000062, low=0.00000265, open=0.00000502, close=0.00000353, volume=2239.14742917, quoteVolume=514392329.6836, weightedAverage=0.00000435]
PoloniexChartData [date=Fri Sep 09 20:00:00 EDT 2016, high=0.00000379, low=0.0000025, open=0.00000352, close=0.0000026, volume=260.35584945, quoteVolume=87262033.080328, weightedAverage=0.00000298]
PoloniexChartData [date=Sat Sep 10 20:00:00 EDT 2016, high=0.00000349, low=0.00000221, open=0.0000026, close=0.0000030, volume=246.90707467, quoteVolume=85033023.301101, weightedAverage=0.0000029]
PoloniexChartData [date=Sun Sep 11 20:00:00 EDT 2016, high=0.00000394, low=0.00000245, open=0.00000296, close=0.00000293, volume=259.2030126, quoteVolume=80188613.45881, weightedAverage=0.00000323]
PoloniexChartData [date=Mon Sep 12 20:00:00 EDT 2016, high=0.00000306, low=0.0000025, open=0.00000297, close=0.00000269, volume=118.18446812, quoteVolume=44859207.657963, weightedAverage=0.00000263]
